Level,Target,Best_Eq,Complexity,Test_MSE,Best_Hamming,Recovered
L1: X1 + X2,"[0, 1, 10, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",(X2+X1),3,0.0,1,NO
L2: X1 * X2,"[0, 1, 12, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",(X2*X1),3,0.0,1,NO
L3: (X1 * X2) + X3,"[0, 1, 12, 2, 10, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",(X3+(X1*(1.0*X2))),7,0.0,2,NO
L4: (X1 * X2) / X3,"[0, 1, 12, 2, 13, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",((abs((X1*X2))/X3)-X4),8,0.0,3,NO
L5: (X1 * X2) / (X3 * X3),"[0, 1, 12, 2, 2, 12, 13, 19, 19, 19, 19, 19, 19, 19, 19]",(abs((X1/exp(X3)))/0.1),7,12.01260757446289,4,NO
L6: sin((X1 * X2) / (X3 * X3)),"[0, 1, 12, 2, 2, 12, 13, 14, 19, 19, 19, 19, 19, 19, 19]",0.5,1,0.25042611360549927,5,NO
