Lambda,Final_Equation,Complexity,Test_MSE,Time_s
0.0,((X2/(X3/abs(X1)))-X1),22,12.767292022705078,62.37720274925232
1.0,(abs((X1/exp(X3)))/0.1),23,12.01260757446289,64.13609647750854
5.0,(X1/(exp(X3)/X2)),17,16.528871536254883,50.360361099243164
10.0,((X1/X3)/0.5),13,23.958419799804688,40.632163524627686
50.0,1.0,3,52.191993713378906,43.04121446609497
100.0,1.0,3,52.191993713378906,40.74573373794556
500.0,1.0,3,52.191993713378906,44.79594659805298
