Starting PRIME Symbolic Regression...
Gen  500 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  13.9 | Eq: INVALID
Gen  510 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  16.1 | Eq: INVALID
Gen  520 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  17.6 | Eq: INVALID
Gen  530 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.7 | Eq: INVALID
Gen  540 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.2 | Eq: INVALID
Gen  550 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.4 | Eq: INVALID
Gen  560 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  15.6 | Eq: INVALID
Gen  570 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.0 | Eq: INVALID
Gen  580 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.3 | Eq: INVALID
Gen  590 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  18.8 | Eq: INVALID
Gen  600 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.9 | Eq: INVALID
Gen  610 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.2 | Eq: INVALID
Gen  620 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  3 | Thresh:  16.4 | Eq: INVALID
Gen  630 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  15.6 | Eq: INVALID
Gen  640 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  2 | Thresh:  18.1 | Eq: INVALID
Gen  650 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  17.3 | Eq: INVALID
Gen  660 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  4 | Thresh:  18.6 | Eq: INVALID
Gen  670 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  15.6 | Eq: INVALID
Gen  680 | Mean Fit:  -890.79 | Max Fit:   -37.51 | Flips:  2 | Thresh:  21.8 | Eq: INVALID
Gen  690 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.0 | Eq: INVALID
Gen  700 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.3 | Eq: INVALID
Gen  710 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  21.3 | Eq: INVALID
Gen  720 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.6 | Eq: INVALID
Gen  730 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.7 | Eq: INVALID
Gen  740 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  14.9 | Eq: INVALID
Gen  750 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  1 | Thresh:  16.2 | Eq: INVALID
Gen  760 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.1 | Eq: INVALID
Gen  770 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  16.4 | Eq: INVALID
Gen  780 | Mean Fit: -1000.00 | Max Fit: -1000.00 | Flips:  0 | Thresh:  17.6 | Eq: INVALID
