Domain,Noise,Seed,EvolvedEquation,FinalMSE
1.0,0.25,4,((X[t-1] - (X[t-1] - X[t-1])) + X[t-2]),0.2578
1.0,0.5,0,(X[t-2] + X[t-1]),0.3367
1.0,0.5,1,(X[t-2] + X[t-1]),0.3411
1.0,0.5,2,(X[t-2] + X[t-1]),0.3288
1.0,0.5,3,"(X[t-2] + avg(X[t-1], X[t-1]))",0.3971
1.0,0.5,4,(X[t-1] + (X[t-1] - (X[t-1] - X[t-2]))),0.4496
2.0,0.0,0,"(sin(avg(X[t-1], X[t-1])) + X[t-2])",0.1750
2.0,0.0,1,"avg(X[t-1], (X[t-1] + (X[t-2] + X[t-2])))",0.3955
2.0,0.0,2,"(X[t-1] * (avg((X[t-1] + X[t-2]), (X[t-1] - X[t-1])) / X[t-1]))",0.7235
2.0,0.0,3,(X[t-1] + X[t-2]),0.2748
2.0,0.0,4,(X[t-2] + X[t-1]),0.2811
2.0,0.01,0,"(X[t-2] + avg(0.1, X[t-1]))",0.1963
2.0,0.01,1,(X[t-2] + X[t-1]),0.2669
2.0,0.01,2,(X[t-2] + X[t-1]),0.2746
2.0,0.01,3,(X[t-1] + X[t-2]),0.2808
2.0,0.01,4,"(X[t-2] + avg(X[t-1], 0.5))",0.2490
2.0,0.05,0,"(X[t-2] + avg(X[t-1], 0.5))",0.2516
2.0,0.05,1,((X[t-1] - (X[t-1] - X[t-1])) + X[t-2]),0.3890
2.0,0.05,2,"(exp(0.5) * avg(X[t-2], X[t-1]))",0.2700
2.0,0.05,3,((X[t-2] + X[t-1]) + ((X[t-1] - X[t-1]) / X[t-4])),0.4204
2.0,0.05,4,(sin(X[t-1]) - (X[t-1] - (X[t-2] + X[t-1]))),0.2226
2.0,0.1,0,(X[t-1] - ((X[t-1] - X[t-2]) - sin(X[t-1]))),0.2300
2.0,0.1,1,(sin(X[t-1]) + X[t-2]),0.1200
2.0,0.1,2,(X[t-2] + X[t-1]),0.2886
2.0,0.1,3,(X[t-2] - (0.5 * (-1.0 * X[t-1]))),0.2369
2.0,0.1,4,(X[t-1] + (X[t-2] - (0.5 * X[t-1]))),0.2449
2.0,0.25,0,((X[t-2] + X[t-1]) * (X[t-1] / X[t-1])),0.4483
2.0,0.25,1,(X[t-1] + X[t-2]),0.3282
2.0,0.25,2,(X[t-2] - ((X[t-1] - X[t-1]) - sin(X[t-1]))),0.2822
2.0,0.25,3,"avg(X[t-1], (X[t-2] + X[t-2]))",0.2704
2.0,0.25,4,(X[t-2] + X[t-1]),0.3598
2.0,0.5,0,(X[t-1] + X[t-2]),0.5284
2.0,0.5,1,(X[t-1] + X[t-2]),0.5459
2.0,0.5,2,"avg(X[t-1], (X[t-2] + X[t-2]))",0.4413
2.0,0.5,3,"(avg((X[t-1] - X[t-1]), X[t-1]) + X[t-2])",0.5017
2.0,0.5,4,(X[t-1] - ((X[t-1] * log(X[t-1])) - X[t-2])),0.5231
3.14159,0.0,0,"avg(X[t-2], X[t-2])",0.6028
3.14159,0.0,1,X[t-2],0.5328
3.14159,0.0,2,(X[t-2] - 0.1),0.5848
3.14159,0.0,3,((X[t-2] / X[t-1]) * X[t-1]),0.6489
3.14159,0.0,4,(X[t-2] - (X[t-1] / (X[t-1] - exp(X[t-1])))),0.3360
3.14159,0.01,0,((X[t-2] - X[t-4]) - ((X[t-1] - X[t-4]) - X[t-1])),0.7531
3.14159,0.01,1,(X[t-2] + sin(X[t-1])),0.1101
3.14159,0.01,2,(X[t-2] + (abs(X[t-1]) / X[t-1])),0.3946
3.14159,0.01,3,X[t-2],0.5405
3.14159,0.01,4,"avg(X[t-2], X[t-2])",0.5984
3.14159,0.05,0,"avg(X[t-2], X[t-2])",0.5984
3.14159,0.05,1,"avg(X[t-1], (X[t-2] + X[t-2]))",0.4690
3.14159,0.05,2,(sin(X[t-1]) - (0.5 - X[t-2])),0.4028
3.14159,0.05,3,(X[t-1] - ((0.5 * X[t-1]) - X[t-2])),0.5283
3.14159,0.05,4,X[t-2],0.5394
3.14159,0.1,0,(1.0 * X[t-2]),0.5794
